,Name,Ground,Mat,Inns,O,M,R,W,4w,Best,Avg,S/R,E/R,BowlingScore
3638,Ishant Sharma,Sharjah Cricket Stadium ,1,1,4.0,0,37,2,0,2/37,18.5,12.0,9.25,0.25157232704402516
3639,Ishant Sharma,Sheikh Zayed Stadium ,2,2,7.0,0,55,1,0,1/29,55.0,42.0,7.86,0.04768262445164982
3643,Ishant Sharma,Wankhede Stadium ,7,7,24.3,0,230,8,0,2/30,28.75,18.38,9.39,0.7077140835102619
3644,Karn Sharma,Arun Jaitley Stadium ,4,4,12.0,0,122,5,0,3/36,24.4,14.4,10.17,0.5105166428425567
3647,Karn Sharma,BRSABV Ekana Cricket Stadium ,1,1,4.0,0,20,2,0,2/20,10.0,12.0,5.0,0.37037037037037035
3648,Karn Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,6.0,0,49,1,0,1/19,49.0,36.0,8.17,0.053665342921541265
3649,Karn Sharma,Dubai International Cricket Stadium ,5,5,20.0,0,162,4,0,2/37,40.5,30.0,8.1,0.2544529262086514
3650,Karn Sharma,Eden Gardens ,8,8,24.0,0,215,10,1,4/38,21.5,14.4,8.96,1.15916183682568
3651,Karn Sharma,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,36,2,0,2/36,18.0,9.0,12.0,0.2564102564102564
3653,Karn Sharma,M Chinnaswamy Stadium ,9,9,29.0,0,265,12,1,4/16,22.08,14.5,9.14,1.3560804899387577
3654,Karn Sharma,MA Chidambaram Stadium ,3,3,10.0,1,83,1,0,1/24,83.0,60.0,8.3,0.033046926635822864
3656,Karn Sharma,Narendra Modi Stadium ,3,3,9.0,0,77,2,0,1/19,38.5,27.0,8.56,0.13502565487442614
3657,Karn Sharma,Punjab Cricket Association IS Bindra Stadium ,3,3,9.0,0,54,1,0,1/22,54.0,54.0,6.0,0.043859649122807015
3658,Karn Sharma,Rajiv Gandhi International Stadium ,21,21,60.4,0,526,14,0,2/19,37.57,26.0,8.67,0.9689922480620156
3659,Karn Sharma,Sawai Mansingh Stadium ,4,4,8.2,0,76,5,0,3/23,15.2,10.0,9.12,0.7284382284382285
3661,Karn Sharma,Sharjah Cricket Stadium ,3,3,11.0,0,106,1,0,1/35,106.0,66.0,9.64,0.02752697643690817
3662,Karn Sharma,Sheikh Zayed Stadium ,2,2,6.0,0,33,2,0,2/25,16.5,18.0,5.5,0.25
3663,Karn Sharma,Wankhede Stadium ,11,10,31.0,0,270,10,0,2/22,27.0,18.6,8.71,0.9206407659731173
3664,Mohit Sharma,Arun Jaitley Stadium ,8,8,27.4,0,291,7,0,3/10,41.57,23.71,10.52,0.46174142480211083
3667,Mohit Sharma,BRSABV Ekana Cricket Stadium ,2,2,6.0,0,51,2,0,2/17,25.5,18.0,8.5,0.19230769230769232
3668,Mohit Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,4,4,15.0,0,132,4,0,2/26,33.0,22.5,8.8,0.3110419906687403
3669,Mohit Sharma,Dubai International Cricket Stadium ,3,3,10.0,0,72,6,1,4/14,12.0,10.0,7.2,1.095890410958904
3670,Mohit Sharma,Eden Gardens ,8,8,26.0,0,208,3,0,1/22,69.33,52.0,8.0,0.11598237067965671
3673,Mohit Sharma,M Chinnaswamy Stadium ,9,9,26.3,0,267,5,0,2/24,53.4,31.8,10.08,0.26238455079764905
3674,Mohit Sharma,MA Chidambaram Stadium ,16,16,55.0,0,411,19,0,3/25,21.63,17.37,7.47,2.044329675059178
3675,Mohit Sharma,Maharaja Yadavindra Singh International Cricket St ,1,1,4.0,0,32,2,0,2/32,16.0,12.0,8.0,0.2777777777777778
3677,Mohit Sharma,Narendra Modi Stadium ,15,14,47.2,0,409,29,3,5/10,14.1,9.79,8.64,4.641869043959422
3678,Mohit Sharma,Punjab Cricket Association IS Bindra Stadium ,15,15,51.4,0,453,17,0,3/23,26.65,18.24,8.77,1.5840477077897877
3679,Mohit Sharma,Rajiv Gandhi International Stadium ,4,4,15.0,0,131,5,0,2/25,26.2,18.0,8.73,0.4723219346306442
3681,Mohit Sharma,Sawai Mansingh Stadium ,5,5,15.5,0,153,2,0,1/21,76.5,47.5,9.66,0.07481669908723627
3683,Mohit Sharma,Sharjah Cricket Stadium ,1,1,4.0,0,27,2,0,2/27,13.5,12.0,6.75,0.31007751937984496
3684,Mohit Sharma,Sheikh Zayed Stadium ,2,2,5.5,0,52,1,0,1/17,52.0,35.0,8.91,0.05213220727765614
3685,Mohit Sharma,Wankhede Stadium ,9,9,33.0,0,329,8,0,2/57,41.13,24.75,9.97,0.5273566249176006
3686,Rahul Sharma,Arun Jaitley Stadium ,4,4,10.0,0,85,0,0,0/4,0.0,0.0,8.5,0.0
3690,Rahul Sharma,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,18,1,0,1/18,18.0,18.0,6.0,0.11904761904761904
3691,Rahul Sharma,M Chinnaswamy Stadium ,2,2,6.0,0,62,2,0,2/27,31.0,18.0,10.33,0.16854879487611665
3692,Rahul Sharma,MA Chidambaram Stadium ,3,3,12.0,0,79,2,0,1/24,39.5,36.0,6.58,0.12183235867446394
3694,Rahul Sharma,Narendra Modi Stadium ,1,1,3.4,0,30,0,0,0/30,0.0,0.0,8.18,0.0
3695,Rahul Sharma,Punjab Cricket Association IS Bindra Stadium ,3,3,10.0,0,62,3,0,2/17,20.67,20.0,6.2,0.3200341369746106
3696,Rahul Sharma,Rajiv Gandhi International Stadium ,2,2,8.0,0,45,2,0,1/21,22.5,24.0,5.63,0.1918281220026856
3697,Rahul Sharma,Sawai Mansingh Stadium ,3,3,11.0,1,82,3,0,3/13,27.33,22.0,7.45,0.2641775272983445
3699,Rahul Sharma,Sharjah Cricket Stadium ,1,1,3.0,0,33,1,0,1/33,33.0,18.0,11.0,0.08064516129032258
3700,Rahul Sharma,Wankhede Stadium ,3,3,11.0,0,57,2,0,1/14,28.5,33.0,5.18,0.14997000599880023
3706,Rohit Sharma,Eden Gardens ,14,2,6.0,0,51,0,0,0/16,0.0,0.0,8.5,0.0
3707,Rohit Sharma,Himachal Pradesh Cricket Association Stadium ,2,2,1.2,0,9,0,0,0/1,0.0,0.0,6.75,0.0
3709,Rohit Sharma,MA Chidambaram Stadium ,16,3,6.0,0,50,1,0,1/27,50.0,36.0,8.33,0.05300540655146825
3710,Rohit Sharma,Narendra Modi Stadium ,8,1,2.0,0,17,0,0,0/17,0.0,0.0,8.5,0.0
3711,Rohit Sharma,Punjab Cricket Association IS Bindra Stadium ,8,2,6.0,0,49,1,0,1/25,49.0,36.0,8.17,0.053665342921541265
3712,Rohit Sharma,Rajiv Gandhi International Stadium ,19,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
3713,Rohit Sharma,Sharjah Cricket Stadium ,5,1,2.0,0,20,1,0,1/20,20.0,12.0,10.0,0.11904761904761904
3714,Rohit Sharma,Sheikh Zayed Stadium ,10,1,0.1,0,4,0,0,0/4,0.0,0.0,24.0,0.0
3719,Rohit Sharma,Wankhede Stadium ,85,3,3.0,0,37,0,0,0/6,0.0,0.0,12.33,0.0
3720,Suyash Sharma,Arun Jaitley Stadium ,1,1,4.0,0,22,0,0,0/22,0.0,0.0,5.5,0.0
3721,Suyash Sharma,BRSABV Ekana Cricket Stadium ,2,2,6.0,0,84,1,0,1/45,84.0,36.0,14.0,0.03731343283582089
3722,Suyash Sharma,Eden Gardens ,10,10,32.0,0,298,6,0,3/30,49.67,32.0,9.31,0.32974280061551986
3723,Suyash Sharma,M Chinnaswamy Stadium ,5,5,19.0,0,154,3,0,2/30,51.33,38.0,8.11,0.1539408866995074
3724,Suyash Sharma,MA Chidambaram Stadium ,2,2,7.0,0,61,0,0,0/29,0.0,0.0,8.71,0.0
3725,Suyash Sharma,Maharaja Yadavindra Singh International Cricket St ,2,2,7.0,0,43,5,0,3/17,8.6,8.4,6.14,1.08038029386344
3726,Suyash Sharma,Narendra Modi Stadium ,2,2,6.0,0,54,1,0,1/35,54.0,36.0,9.0,0.050505050505050504
3727,Suyash Sharma,Sawai Mansingh Stadium ,1,1,4.0,0,39,0,0,0/39,0.0,0.0,9.75,0.0
3728,Suyash Sharma,Wankhede Stadium ,2,2,8.0,0,59,2,0,2/27,29.5,24.0,7.38,0.164257555847569
3729,Vivrant Sharma,Sawai Mansingh Stadium ,1,1,2.0,0,18,0,0,0/18,0.0,0.0,9.0,0.0
3730,Vivrant Sharma,Wankhede Stadium ,1,1,1.0,0,19,0,0,0/19,0.0,0.0,19.0,0.0
3733,Shashank Singh,Rajiv Gandhi International Stadium ,2,2,3.0,0,32,1,0,1/5,32.0,18.0,10.67,0.08241305422778968
3734,Suryansh Shedge,MA Chidambaram Stadium ,1,1,3.0,0,40,0,0,0/40,0.0,0.0,13.33,0.0
3735,Romario Shepherd,BRSABV Ekana Cricket Stadium ,3,2,6.0,0,65,3,0,2/14,21.67,12.0,10.83,0.33707865168539325
3737,Romario Shepherd,M Chinnaswamy Stadium ,2,2,2.0,0,33,0,0,0/15,0.0,0.0,16.5,0.0
3738,Romario Shepherd,Maharaja Yadavindra Singh International Cricket St ,3,3,5.0,0,43,2,0,1/5,21.5,15.0,8.6,0.22172949002217293
3740,Romario Shepherd,Narendra Modi Stadium ,1,1,3.0,0,30,1,0,1/30,30.0,18.0,10.0,0.08620689655172414
3741,Romario Shepherd,Wankhede Stadium ,5,5,11.0,0,162,1,0,1/54,162.0,66.0,14.73,0.020599019486672435
3742,Shivam Mavi,Arun Jaitley Stadium ,1,1,4.0,0,58,1,0,1/58,58.0,24.0,14.5,0.05181347150259067
3745,Shivam Mavi,Dubai International Cricket Stadium ,5,5,20.0,1,127,8,0,2/15,15.88,15.0,6.35,1.0744023636852
3746,Shivam Mavi,Eden Gardens ,6,6,17.0,0,151,3,0,1/14,50.33,34.0,8.88,0.160926939169617
3747,Shivam Mavi,M Chinnaswamy Stadium ,1,1,3.0,0,21,0,0,0/21,0.0,0.0,7.0,0.0
3749,Shivam Mavi,Narendra Modi Stadium ,2,2,5.0,0,38,1,0,1/13,38.0,30.0,7.6,0.06613756613756615
3750,Shivam Mavi,Sawai Mansingh Stadium ,1,1,4.0,0,40,1,0,1/40,40.0,24.0,10.0,0.06756756756756757
3751,Shivam Mavi,Sharjah Cricket Stadium ,4,4,14.1,0,124,5,1,4/21,24.8,17.0,8.75,0.5341246290801187
3752,Shivam Mavi,Sheikh Zayed Stadium ,5,5,15.0,1,137,5,0,2/32,27.4,18.0,9.13,0.45846323124885385
3753,Shivam Mavi,Wankhede Stadium ,4,4,14.0,0,126,3,0,1/19,42.0,28.0,9.0,0.189873417721519
3754,Shivam Sharma,Arun Jaitley Stadium ,1,1,4.0,0,32,0,0,0/32,0.0,0.0,8.0,0.0
3755,Shivam Sharma,M Chinnaswamy Stadium ,1,1,4.0,0,26,2,0,2/26,13.0,12.0,6.5,0.31746031746031744
3756,Shivam Sharma,Narendra Modi Stadium ,1,1,3.0,0,44,1,0,1/44,44.0,18.0,14.67,0.0652145558888744
3757,Shivam Sharma,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,32,0,0,0/32,0.0,0.0,8.0,0.0
3758,Shivam Sharma,Rajiv Gandhi International Stadium ,1,1,4.0,0,31,1,0,1/31,31.0,24.0,7.75,0.0796812749003984
3764,Shoaib Akhtar,Eden Gardens ,2,2,5.0,0,25,4,1,4/11,6.25,7.5,5.0,1.1733333333333333
3765,Shoaib Akhtar,Wankhede Stadium ,1,1,2.0,0,29,1,0,1/29,29.0,12.0,14.5,0.09009009009009009
3766,Shoaib Malik,Arun Jaitley Stadium ,3,2,3.0,0,36,0,0,0/8,0.0,0.0,12.0,0.0
3768,Shoaib Malik,MA Chidambaram Stadium ,1,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
3769,Shoaib Malik,Punjab Cricket Association IS Bindra Stadium ,1,1,3.3,0,32,1,0,1/32,32.0,21.0,9.14,0.0804634695848085
3770,Hrithik Shokeen,Arun Jaitley Stadium ,1,1,4.0,0,43,1,0,1/43,43.0,24.0,10.75,0.06430868167202572
3771,Hrithik Shokeen,BRSABV Ekana Cricket Stadium ,1,1,3.0,0,20,0,0,0/20,0.0,0.0,6.67,0.0
3773,Hrithik Shokeen,M Chinnaswamy Stadium ,1,1,1.0,0,17,0,0,0/17,0.0,0.0,17.0,0.0
3774,Hrithik Shokeen,MA Chidambaram Stadium ,1,1,1.0,0,18,0,0,0/18,0.0,0.0,18.0,0.0
3775,Hrithik Shokeen,Rajiv Gandhi International Stadium ,1,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
3776,Hrithik Shokeen,Wankhede Stadium ,6,6,17.0,0,134,2,0,2/34,67.0,51.0,7.88,0.07944073721004132
3777,D'Arcy Short,M Chinnaswamy Stadium ,1,1,1.0,0,10,1,0,1/10,10.0,6.0,10.0,0.19230769230769232
3778,D'Arcy Short,Rajiv Gandhi International Stadium ,1,1,2.0,0,9,0,0,0/9,0.0,0.0,4.5,0.0
3779,Matthew Short,BRSABV Ekana Cricket Stadium ,1,1,2.0,0,10,0,0,0/10,0.0,0.0,5.0,0.0
3780,Matthew Short,Punjab Cricket Association IS Bindra Stadium ,3,1,1.0,0,8,0,0,0/8,0.0,0.0,8.0,0.0
3781,Matthew Short,Wankhede Stadium ,1,1,1.0,0,7,0,0,0/7,0.0,0.0,7.0,0.0
3782,Laxmi Shukla,Arun Jaitley Stadium ,4,3,6.2,0,57,1,0,1/31,57.0,38.0,9.0,0.04807692307692308
3785,Laxmi Shukla,Dubai International Cricket Stadium ,1,1,2.0,0,21,0,0,0/21,0.0,0.0,10.5,0.0
3786,Laxmi Shukla,Eden Gardens ,17,9,15.5,0,142,6,0,3/6,23.67,15.83,8.97,0.6189395502372602
3788,Laxmi Shukla,M Chinnaswamy Stadium ,2,1,1.1,0,12,1,0,1/12,12.0,7.0,10.29,0.1707067258449983
3789,Laxmi Shukla,MA Chidambaram Stadium ,5,3,4.0,0,34,0,0,0/7,0.0,0.0,8.5,0.0
3790,Laxmi Shukla,Rajiv Gandhi International Stadium ,1,1,2.0,0,16,1,0,1/16,16.0,12.0,8.0,0.1388888888888889
3791,Laxmi Shukla,Sawai Mansingh Stadium ,3,3,5.0,0,58,2,0,1/14,29.0,15.0,11.6,0.17985611510791366
3792,Laxmi Shukla,Sharjah Cricket Stadium ,1,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
3794,Rahul Shukla,Arun Jaitley Stadium ,3,3,7.0,0,71,2,0,1/13,35.5,21.0,10.14,0.15006002400960383
3795,Rahul Shukla,M Chinnaswamy Stadium ,1,1,4.0,0,41,1,0,1/41,41.0,24.0,10.25,0.0664451827242525
3796,Rahul Shukla,MA Chidambaram Stadium ,1,1,2.0,0,24,0,0,0/24,0.0,0.0,12.0,0.0
3797,Rahul Shukla,Narendra Modi Stadium ,1,1,4.0,0,44,0,0,0/44,0.0,0.0,11.0,0.0
3798,Rahul Shukla,Sawai Mansingh Stadium ,1,1,3.0,0,28,2,0,2/28,14.0,9.0,9.33,0.3093102381688834
3799,Manimaran Siddharth,BRSABV Ekana Cricket Stadium ,3,3,9.0,0,78,0,0,0/21,0.0,0.0,8.67,0.0
3800,Manimaran Siddharth,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,4.0,0,39,2,0,2/39,19.5,12.0,9.75,0.24242424242424243
3801,Manimaran Siddharth,M Chinnaswamy Stadium ,1,1,3.0,0,21,1,0,1/21,21.0,18.0,7.0,0.10869565217391304
3802,Sikandar Raza,Arun Jaitley Stadium ,1,1,1.0,0,3,0,0,0/3,0.0,0.0,3.0,0.0
3803,Sikandar Raza,Barsapara Cricket Stadium ,1,1,2.0,0,24,0,0,0/24,0.0,0.0,12.0,0.0
3804,Sikandar Raza,BRSABV Ekana Cricket Stadium ,1,1,2.0,0,19,1,0,1/19,19.0,12.0,9.5,0.12345679012345678
3805,Sikandar Raza,MA Chidambaram Stadium ,1,1,3.0,0,31,1,0,1/31,31.0,18.0,10.33,0.08427439743805833
3806,Sikandar Raza,Narendra Modi Stadium ,1,1,2.0,0,22,0,0,0/22,0.0,0.0,11.0,0.0
3807,Sikandar Raza,Punjab Cricket Association IS Bindra Stadium ,2,2,4.0,0,42,1,0,1/25,42.0,24.0,10.5,0.06535947712418301
3808,Chamara Silva,Rajiv Gandhi International Stadium ,2,1,1.0,0,21,0,0,0/21,0.0,0.0,21.0,0.0
3811,Simarjeet Singh,Eden Gardens ,1,1,4.0,0,47,0,0,0/47,0.0,0.0,11.75,0.0
3812,Simarjeet Singh,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,16,2,0,2/16,8.0,9.0,5.33,0.4478280340349306
3813,Simarjeet Singh,M Chinnaswamy Stadium ,1,1,1.0,0,19,0,0,0/19,0.0,0.0,19.0,0.0
3814,Simarjeet Singh,MA Chidambaram Stadium ,1,1,4.0,0,26,3,0,3/26,8.67,8.0,6.5,0.6473888649115235
3816,Simarjeet Singh,Narendra Modi Stadium ,1,1,4.0,0,60,0,0,0/60,0.0,0.0,15.0,0.0
3817,Simarjeet Singh,Rajiv Gandhi International Stadium ,3,3,6.0,0,94,2,0,2/46,47.0,18.0,15.67,0.12396181975951406
3818,Simarjeet Singh,Wankhede Stadium ,2,2,7.0,0,48,1,0,1/22,48.0,42.0,6.86,0.05162089613875697
3820,Nathu Singh,M Chinnaswamy Stadium ,1,1,2.0,0,8,0,0,0/8,0.0,0.0,4.0,0.0
3822,R P Singh,Arun Jaitley Stadium ,3,3,12.0,0,119,1,0,1/28,119.0,72.0,9.92,0.024885526577742387
3827,R P Singh,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,3.0,0,23,1,0,1/23,23.0,18.0,7.67,0.1027326895418122
3828,R P Singh,Eden Gardens ,2,2,7.0,0,40,3,0,2/25,13.33,14.0,5.71,0.4539951573849879
3829,R P Singh,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,51,1,0,1/51,51.0,24.0,12.75,0.05698005698005698
3832,R P Singh,M Chinnaswamy Stadium ,12,12,43.0,0,340,15,0,3/13,22.67,17.2,7.91,1.5696944328170783
3833,R P Singh,MA Chidambaram Stadium ,4,4,13.5,0,117,4,0,2/12,29.25,20.75,8.46,0.3421142661648991
3835,R P Singh,Narendra Modi Stadium ,1,1,2.0,0,22,0,0,0/22,0.0,0.0,11.0,0.0
3838,R P Singh,Punjab Cricket Association IS Bindra Stadium ,3,3,10.3,0,102,1,0,1/27,102.0,63.0,9.71,0.02861885410108179
3839,R P Singh,Rajiv Gandhi International Stadium ,7,7,25.5,0,248,6,0,3/35,41.33,25.83,9.6,0.39082855653986454
3841,R P Singh,Sawai Mansingh Stadium ,4,4,13.0,0,102,2,0,1/24,51.0,39.0,7.85,0.1021972406745018
3846,R P Singh,Wankhede Stadium ,8,8,29.0,0,231,10,0,3/28,23.1,17.4,7.97,1.0315659170621003
3847,Vikram Singh,Arun Jaitley Stadium ,1,1,2.0,0,33,0,0,0/33,0.0,0.0,16.5,0.0
3848,Vikram Singh,Eden Gardens ,1,1,4.0,0,28,2,0,2/28,14.0,12.0,7.0,0.30303030303030304
3849,Vikram Singh,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,40,0,0,0/40,0.0,0.0,13.33,0.0
3851,Vikram Singh,M Chinnaswamy Stadium ,1,1,4.0,0,33,1,0,1/33,33.0,24.0,8.25,0.07662835249042145
3852,Vikram Singh,MA Chidambaram Stadium ,1,1,4.0,0,35,1,0,1/35,35.0,24.0,8.75,0.07380073800738007
3854,Vikram Singh,Punjab Cricket Association IS Bindra Stadium ,6,6,24.0,0,187,7,0,3/29,26.71,20.57,7.79,0.6355547485019066
3855,Vikram Singh,Rajiv Gandhi International Stadium ,1,1,4.0,0,34,0,0,0/34,0.0,0.0,8.5,0.0
3857,Vikram Singh,Wankhede Stadium ,2,2,6.0,0,70,0,0,0/14,0.0,0.0,11.67,0.0
3858,Dwayne Smith,Arun Jaitley Stadium ,7,6,11.0,0,121,3,0,2/22,40.33,22.0,11.0,0.2045547524887495
3862,Dwayne Smith,Eden Gardens ,9,4,10.0,0,77,3,0,1/14,25.67,20.0,7.7,0.28105677346824054
3865,Dwayne Smith,M Chinnaswamy Stadium ,7,5,9.0,0,69,3,0,3/26,23.0,18.0,7.67,0.3081980686254366
3867,Dwayne Smith,Rajiv Gandhi International Stadium ,4,1,1.0,0,15,0,0,0/15,0.0,0.0,15.0,0.0
3869,Dwayne Smith,Sawai Mansingh Stadium ,2,2,4.0,0,29,0,0,0/13,0.0,0.0,7.25,0.0
3870,Dwayne Smith,Sharjah Cricket Stadium ,1,1,2.0,0,11,1,0,1/11,11.0,12.0,5.5,0.17543859649122806
3871,Dwayne Smith,Sheikh Zayed Stadium ,2,2,4.0,0,39,2,0,1/14,19.5,12.0,9.75,0.24242424242424243
3875,Dwayne Smith,Wankhede Stadium ,14,5,9.0,0,85,3,0,2/20,28.33,18.0,9.44,0.2689618074233459
3879,Odean Smith,Wankhede Stadium ,1,1,2.0,0,39,1,0,1/39,39.0,12.0,19.5,0.07092198581560284
3881,Ish Sodhi,Arun Jaitley Stadium ,1,1,3.1,1,26,3,0,3/26,8.67,6.33,8.21,0.6462731581214993
3882,Ish Sodhi,Eden Gardens ,2,2,8.0,0,36,1,0,1/21,36.0,48.0,4.5,0.05649717514124294
3883,Ish Sodhi,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,41,1,0,1/41,41.0,24.0,10.25,0.0664451827242525
3884,Ish Sodhi,Sawai Mansingh Stadium ,4,4,15.0,0,99,4,0,1/14,24.75,22.5,6.6,0.3714020427112349
3886,Sohail Tanvir,Eden Gardens ,1,1,4.0,0,26,3,0,3/26,8.67,8.0,6.5,0.6473888649115235
3887,Sohail Tanvir,M Chinnaswamy Stadium ,1,1,4.0,0,31,0,0,0/31,0.0,0.0,7.75,0.0
3888,Sohail Tanvir,MA Chidambaram Stadium ,1,1,4.0,0,33,3,0,3/33,11.0,8.0,8.25,0.5504587155963303
3889,Sohail Tanvir,Sawai Mansingh Stadium ,5,5,20.0,0,107,15,2,6/14,7.13,8.0,5.35,3.8574218750000004
3890,Sohail Tanvir,Wankhede Stadium ,1,1,2.0,0,16,0,0,0/16,0.0,0.0,8.0,0.0
3892,Prashant Solanki,Wankhede Stadium ,1,1,4.0,0,18,0,0,0/18,0.0,0.0,4.5,0.0
3893,Tim Southee,Arun Jaitley Stadium ,3,3,11.0,0,98,0,0,0/21,0.0,0.0,8.91,0.0
3897,Tim Southee,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,12.0,0,87,1,0,1/22,87.0,72.0,7.25,0.03007518796992481
3898,Tim Southee,Dubai International Cricket Stadium ,3,3,12.0,0,93,2,0,2/26,46.5,36.0,7.75,0.11080332409972299
3899,Tim Southee,Eden Gardens ,3,3,10.0,1,107,2,0,2/39,53.5,30.0,10.7,0.10615711252653927
3901,Tim Southee,M Chinnaswamy Stadium ,9,9,31.0,0,304,6,0,2/25,50.67,31.0,9.81,0.3279405334499344
3902,Tim Southee,MA Chidambaram Stadium ,2,2,8.0,0,62,2,0,1/30,31.0,24.0,7.75,0.1593625498007968
3904,Tim Southee,Narendra Modi Stadium ,2,2,7.0,0,79,1,0,1/46,79.0,42.0,11.29,0.03779575175750246
3906,Tim Southee,Punjab Cricket Association IS Bindra Stadium ,3,3,12.0,0,115,5,0,2/28,23.0,14.4,9.58,0.532141336739038
3907,Tim Southee,Rajiv Gandhi International Stadium ,2,2,8.0,0,54,6,0,3/24,9.0,8.0,6.75,1.263157894736842
3908,Tim Southee,Sawai Mansingh Stadium ,1,1,4.0,0,37,0,0,0/37,0.0,0.0,9.25,0.0
3909,Tim Southee,Sharjah Cricket Stadium ,1,1,4.0,0,29,1,0,1/29,29.0,24.0,7.25,0.08298755186721991
3910,Tim Southee,Sheikh Zayed Stadium ,1,1,3.0,0,16,0,0,0/16,0.0,0.0,5.33,0.0
3911,Tim Southee,Wankhede Stadium ,6,6,24.0,0,218,7,0,2/36,31.14,20.57,9.08,0.575752590886659
3912,Barinder Sran,Arun Jaitley Stadium ,3,3,10.0,0,102,2,0,1/29,51.0,30.0,10.2,0.10964912280701754
3914,Barinder Sran,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,7.3,0,44,3,0,2/18,14.67,15.0,5.87,0.4220596510973551
3915,Barinder Sran,Eden Gardens ,3,3,10.0,0,108,3,0,2/50,36.0,20.0,10.8,0.22455089820359284
3917,Barinder Sran,M Chinnaswamy Stadium ,1,1,3.0,0,41,1,0,1/41,41.0,18.0,13.67,0.06880418329434429
3918,Barinder Sran,Punjab Cricket Association IS Bindra Stadium ,2,2,8.0,0,59,0,0,0/22,0.0,0.0,7.38,0.0
3919,Barinder Sran,Rajiv Gandhi International Stadium ,8,8,26.0,0,226,5,0,3/28,45.2,31.2,8.69,0.29380655776236925
3922,Barinder Sran,Wankhede Stadium ,1,1,2.0,0,24,0,0,0/24,0.0,0.0,12.0,0.0
3923,Sreesanth,Arun Jaitley Stadium ,3,3,11.0,0,75,2,0,1/18,37.5,33.0,6.82,0.12933264355923435
3927,Sreesanth,Eden Gardens ,1,1,4.0,0,33,2,0,2/33,16.5,12.0,8.25,0.272108843537415
3930,Sreesanth,M Chinnaswamy Stadium ,3,3,8.0,0,67,2,0,2/16,33.5,24.0,8.38,0.1517911353976928
3931,Sreesanth,MA Chidambaram Stadium ,2,2,7.0,0,52,3,0,2/29,17.33,14.0,7.43,0.38699690402476783
3935,Sreesanth,Punjab Cricket Association IS Bindra Stadium ,10,10,33.0,0,280,12,0,3/29,23.33,16.5,8.48,1.2419788863589318
3936,Sreesanth,Rajiv Gandhi International Stadium ,1,1,4.0,0,33,1,0,1/33,33.0,24.0,8.25,0.07662835249042145
3937,Sreesanth,Sawai Mansingh Stadium ,5,5,18.1,2,158,5,0,2/20,31.6,21.8,8.7,0.40257648953301123
3940,Sreesanth,Wankhede Stadium ,2,2,5.0,0,42,2,0,2/35,21.0,15.0,8.4,0.22522522522522523
3941,Sridharan Sriram,Himachal Pradesh Cricket Association Stadium ,1,1,1.0,0,25,0,0,0/25,0.0,0.0,25.0,0.0
3942,Sridharan Sriram,M Chinnaswamy Stadium ,1,1,2.0,0,24,0,0,0/24,0.0,0.0,12.0,0.0
3943,Shalabh Srivastava,Arun Jaitley Stadium ,1,1,4.0,0,46,0,0,0/46,0.0,0.0,11.5,0.0
3946,Shalabh Srivastava,Eden Gardens ,1,1,3.0,0,35,0,0,0/35,0.0,0.0,11.67,0.0
3947,Shalabh Srivastava,Himachal Pradesh Cricket Association Stadium ,3,3,11.0,0,105,4,0,2/30,26.25,16.5,9.55,0.38240917782026773
3949,Shalabh Srivastava,MA Chidambaram Stadium ,1,1,3.0,0,25,0,0,0/25,0.0,0.0,8.33,0.0
3950,Shalabh Srivastava,Punjab Cricket Association IS Bindra Stadium ,4,4,12.0,0,109,6,0,2/20,18.17,12.0,9.08,0.7643312101910829
3951,Billy Stanlake,Eden Gardens ,1,1,4.0,0,21,2,0,2/21,10.5,12.0,5.25,0.36036036036036034
3953,Billy Stanlake,M Chinnaswamy Stadium ,1,1,4.0,0,29,2,0,2/29,14.5,12.0,7.25,0.2962962962962963
3954,Billy Stanlake,Rajiv Gandhi International Stadium ,3,3,12.0,0,109,3,0,2/42,36.33,24.0,9.08,0.21610718916582625
3955,Mitchell Starc,Arun Jaitley Stadium ,5,5,18.0,0,173,7,0,3/20,24.71,15.43,9.61,0.7035175879396985
3956,Mitchell Starc,BRSABV Ekana Cricket Stadium ,2,2,6.0,0,47,2,0,1/22,23.5,18.0,7.83,0.20271639975674033
